;parent;name;inner.name
0;Launching a military coup against a democratic government can be justified;What is it called when someone tries to overthrow the government?;What does conspiring to overthrow the state mean?
1;Launching a military coup against a democratic government can be justified;What is it called when someone tries to overthrow the government?;Can you legally overthrow the government?
2;Launching a military coup against a democratic government can be justified;What is a veto coup?;How did Pinochet come to power?
3;Launching a military coup against a democratic government can be justified;What is a veto coup?;Is a military coup?
4;Launching a military coup against a democratic government can be justified;What is a veto coup?;What is cru de ta?
5;Launching a military coup against a democratic government can be justified;What is a military government called?;What is the difference between dictatorship and military dictatorship?
6;Launching a military coup against a democratic government can be justified;What is a military government called?;How many military dictatorships are there?
7;Launching a military coup against a democratic government can be justified;What is a military government called?;Is Pakistan a military dictatorship?
8;Launching a military coup against a democratic government can be justified;What is military rule in Nigeria?;Who overthrew the first civilian government in Nigeria?
9;Launching a military coup against a democratic government can be justified;What is military rule in Nigeria?;What is it called when the military takes over the government?
10;Launching a military coup against a democratic government can be justified;What is military rule in Nigeria?;When did Nigeria change from military to civilian rule?
