;parent;name;inner.name
0;Any vaccines should be required for children;Is it mandatory to vaccinate a child?;Who invented vaccinations?
1;Any vaccines should be required for children;Is it mandatory to vaccinate a child?;When did vaccinations become compulsory in the UK?
2;Any vaccines should be required for children;Is it mandatory to vaccinate a child?;Should schools require vaccines?
3;Any vaccines should be required for children;Is it mandatory to vaccinate a child?;What vaccines are necessary?
4;Any vaccines should be required for children;Is it mandatory to vaccinate a child?;What vaccines are optional?
5;Any vaccines should be required for children;Should schools require vaccines?;How are vaccines made?
6;Any vaccines should be required for children;Should schools require vaccines?;What vaccines are necessary?
7;Any vaccines should be required for children;Should schools require vaccines?;What vaccines are optional?
8;Any vaccines should be required for children;What vaccines are necessary?;Are booster vaccines necessary?
9;Any vaccines should be required for children;What vaccines are necessary?;Which vaccine is used for which disease?
10;Any vaccines should be required for children;What vaccines are necessary?;Why is vaccination called vaccination?
11;Any vaccines should be required for children;What vaccines are necessary?;What vaccines are optional?
12;Any vaccines should be required for children;What vaccines are optional?;Is mercury used in vaccines?
13;Any vaccines should be required for children;What vaccines are optional?;What vaccines exist?
14;Any vaccines should be required for children;What vaccines are optional?;Is chickenpox vaccine required?
