;parent;name;inner.name
0;The United States should maintain its embargo against Cuba;What is the point of the Cuban embargo?;Does the US own Cuba?
1;The United States should maintain its embargo against Cuba;What is the point of the Cuban embargo?;Can I bring Cuban cigars to the US?
2;The United States should maintain its embargo against Cuba;What is the current relationship between Cuba and the United States?;Can the US export to Cuba?
3;The United States should maintain its embargo against Cuba;What is the current relationship between Cuba and the United States?;Has the Cuban embargo been lifted?
4;The United States should maintain its embargo against Cuba;What is the current relationship between Cuba and the United States?;Why does the US have a base in Cuba?
5;The United States should maintain its embargo against Cuba;Can US citizens go to Cuba?;Can US citizens travel to Cuba 2018?
6;The United States should maintain its embargo against Cuba;Can US citizens go to Cuba?;What are the 12 reasons to visit Cuba?
7;The United States should maintain its embargo against Cuba;Can US citizens go to Cuba?;Do Americans need a visa for Cuba?
8;The United States should maintain its embargo against Cuba;What was the Bay of Pigs invasion and why did it fail?;What was the goal of the United States invasion at the Bay of Pigs?
9;The United States should maintain its embargo against Cuba;What was the Bay of Pigs invasion and why did it fail?;Who is the highest paid wrestler in WWE 2018?
10;The United States should maintain its embargo against Cuba;What was the Bay of Pigs invasion and why did it fail?;When did Khrushchev say we will bury you?
