;parent;name;inner.name
0;Space Exploration Is a Waste of Money;Is space exploration worth the cost?;Was the shuttle program worth it?
1;Space Exploration Is a Waste of Money;Is space exploration worth the cost?;Why is space important?
2;Space Exploration Is a Waste of Money;Why is space exploration so expensive?;What is the purpose of space exploration?
3;Space Exploration Is a Waste of Money;Why is space exploration so expensive?;How much does it cost for space travel?
4;Space Exploration Is a Waste of Money;Why is space exploration so expensive?;How much does ocean exploration cost?
5;Space Exploration Is a Waste of Money;How much money does NASA spend on space exploration?;What is NASA's budget for 2019?
6;Space Exploration Is a Waste of Money;How much money does NASA spend on space exploration?;How much does a space shuttle cost?
7;Space Exploration Is a Waste of Money;How much money does NASA spend on space exploration?;How much does the average US taxpayer contribute to NASA per US tax dollar?
8;Space Exploration Is a Waste of Money;What is space exploration definition?;Why is Ocean Exploration important?
9;Space Exploration Is a Waste of Money;What is space exploration definition?;How does space exploration benefit us?
10;Space Exploration Is a Waste of Money;What is space exploration definition?;What is space exploration technology?
