;parent;name;inner.name
0;Fast Food Advertising Should Be Banned;Is fast food advertising to blame for childhood obesity?;How many food advertisements is a child exposed to in a day?
1;Fast Food Advertising Should Be Banned;Is fast food advertising to blame for childhood obesity?;How can we stop fast food advertising?
2;Fast Food Advertising Should Be Banned;Should junk food be banned in schools?;Should candy and soda be banned from schools?
3;Fast Food Advertising Should Be Banned;Should junk food be banned in schools?;Does junk food give you energy?
4;Fast Food Advertising Should Be Banned;Should junk food be banned in schools?;What are the dangers of junk food?
5;Fast Food Advertising Should Be Banned;How does advertising affect childhood obesity?;Why junk food ads should be banned?
6;Fast Food Advertising Should Be Banned;How does advertising affect childhood obesity?;How does advertising affect youth?
7;Fast Food Advertising Should Be Banned;How does advertising affect childhood obesity?;How does food advertising affect children?
8;Fast Food Advertising Should Be Banned;How bad is fast food?;Why is mcdonalds so unhealthy?
9;Fast Food Advertising Should Be Banned;How bad is fast food?;What's the healthiest fast food?
10;Fast Food Advertising Should Be Banned;How bad is fast food?;Is eating fast food everyday bad?
