;parent;name;inner.name
0;Racial quotas must be set in South African rugby;Is South Africa good at rugby?;Why was the South African cricket team banned?
1;Racial quotas must be set in South African rugby;Is South Africa good at rugby?;What are the major sporting codes in South Africa?
2;Racial quotas must be set in South African rugby;What is a quota player in rugby?;Why are sports and recreation facilities important?
3;Racial quotas must be set in South African rugby;What is a quota player in rugby?;How long was Nelson Mandela on Robben Island?
4;Racial quotas must be set in South African rugby;What is a quota player in rugby?;What are sporting codes?
5;Racial quotas must be set in South African rugby;What is the quota system in South Africa?;Why is a code of conduct important in sport?
6;Racial quotas must be set in South African rugby;What is the quota system in South Africa?;What is HUDL Sportscode?
7;Racial quotas must be set in South African rugby;When did rugby start in South Africa?;Is rugby popular in South Africa?
8;Racial quotas must be set in South African rugby;When did rugby start in South Africa?;Why is the South African rugby team called the Springboks?
9;Racial quotas must be set in South African rugby;When did rugby start in South Africa?;Who was the first black Springbok rugby player?
