;parent;name;inner.name
0;Allow pharmaceutical companies to advertise directly to consumers;What countries allow pharmaceutical companies to advertise?;Does direct to consumer drug advertising enhance patient choice?
1;Allow pharmaceutical companies to advertise directly to consumers;What countries allow pharmaceutical companies to advertise?;When did direct to consumer advertising become legal?
2;Allow pharmaceutical companies to advertise directly to consumers;What countries allow pharmaceutical companies to advertise?;Should prescription drugs be advertised directly to the public?
3;Allow pharmaceutical companies to advertise directly to consumers;What countries allow pharmaceutical companies to advertise?;Can pharmaceutical companies advertise?
4;Allow pharmaceutical companies to advertise directly to consumers;What countries allow pharmaceutical companies to advertise?;Should prescription drugs be advertised?
5;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised directly to the public?;Should prescription drug ads be banned?
6;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised directly to the public?;How much does Pharma spend on advertising?
7;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised directly to the public?;Why is advertising prescription drugs legal?
8;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised directly to the public?;Can pharmaceutical companies advertise?
9;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised directly to the public?;Should prescription drugs be advertised?
10;Allow pharmaceutical companies to advertise directly to consumers;Can pharmaceutical companies advertise?;Which countries allow direct to consumer advertising?
11;Allow pharmaceutical companies to advertise directly to consumers;Can pharmaceutical companies advertise?;Why do pharmaceutical companies advertise?
12;Allow pharmaceutical companies to advertise directly to consumers;Can pharmaceutical companies advertise?;How many pharma sales reps are there?
13;Allow pharmaceutical companies to advertise directly to consumers;Can pharmaceutical companies advertise?;Should prescription drugs be advertised?
14;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised?;Can you advertise prescription drugs in Canada?
15;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised?;Do other countries allow drug advertising?
16;Allow pharmaceutical companies to advertise directly to consumers;Should prescription drugs be advertised?;Do other countries advertise prescription drugs?
