;parent;name;inner.name
0;Taking food thrown out by supermarkets should not be illegal;Is it illegal to take food from supermarket bins?;Is taking from a skip illegal?
1;Taking food thrown out by supermarkets should not be illegal;Is it illegal to take food from supermarket bins?;Is going through a bin illegal?
2;Taking food thrown out by supermarkets should not be illegal;Is it illegal to take food from supermarket bins?;Is it mandatory in France for supermarkets to give away unsold food?
3;Taking food thrown out by supermarkets should not be illegal;Is it illegal to take food from supermarket bins?;Is it illegal to throw away food in France?
4;Taking food thrown out by supermarkets should not be illegal;Is it illegal to take food from supermarket bins?;Can grocery stores donate food?
5;Taking food thrown out by supermarkets should not be illegal;Is it mandatory in France for supermarkets to give away unsold food?;What happens to unsold food in supermarkets?
6;Taking food thrown out by supermarkets should not be illegal;Is it mandatory in France for supermarkets to give away unsold food?;Do grocery stores throw away food?
7;Taking food thrown out by supermarkets should not be illegal;Is it mandatory in France for supermarkets to give away unsold food?;How much waste does France produce?
8;Taking food thrown out by supermarkets should not be illegal;Is it mandatory in France for supermarkets to give away unsold food?;Is it illegal to throw away food in France?
9;Taking food thrown out by supermarkets should not be illegal;Is it mandatory in France for supermarkets to give away unsold food?;Can grocery stores donate food?
10;Taking food thrown out by supermarkets should not be illegal;Is it illegal to throw away food in France?;How much food is wasted in France?
11;Taking food thrown out by supermarkets should not be illegal;Is it illegal to throw away food in France?;Why do supermarkets throw away food?
12;Taking food thrown out by supermarkets should not be illegal;Is it illegal to throw away food in France?;How much food is wasted in the US?
13;Taking food thrown out by supermarkets should not be illegal;Is it illegal to throw away food in France?;Can grocery stores donate food?
14;Taking food thrown out by supermarkets should not be illegal;Can grocery stores donate food?;Do homeless shelters take expired food?
15;Taking food thrown out by supermarkets should not be illegal;Can grocery stores donate food?;Why do food pantries give out expired food?
16;Taking food thrown out by supermarkets should not be illegal;Can grocery stores donate food?;Is it illegal to waste food?
