;parent;name;inner.name
0;Should the United States increase the foreign aid budget?;How much did the US spend on foreign aid in 2017?;How much of the US budget goes to foreign aid?
1;Should the United States increase the foreign aid budget?;How much did the US spend on foreign aid in 2017?;How much did the US spend on foreign aid in 2016?
2;Should the United States increase the foreign aid budget?;How much foreign aid does the US give?;How much does the US spend on foreign military aid?
3;Should the United States increase the foreign aid budget?;How much foreign aid does the US give?;Does China give foreign aid?
4;Should the United States increase the foreign aid budget?;How much foreign aid does the US give?;What countries give the most foreign aid?
5;Should the United States increase the foreign aid budget?;How much foreign aid does the US give to Guatemala?;Does the US give foreign aid to Saudi Arabia?
6;Should the United States increase the foreign aid budget?;How much foreign aid does the US give to Guatemala?;How much foreign aid does the US give to China?
7;Should the United States increase the foreign aid budget?;How much foreign aid does the US give to Guatemala?;How much money do we give El Salvador?
8;Should the United States increase the foreign aid budget?;How much money do we give to other countries?;Why is foreign aid given?
9;Should the United States increase the foreign aid budget?;How much money do we give to other countries?;How much money does Canada give to other countries?
10;Should the United States increase the foreign aid budget?;How much money do we give to other countries?;How much does us spend on welfare?
