;parent;name;inner.name
0;Act to regulate the activities of Sovereign Wealth Funds;Why are sovereign wealth funds important?;What are the largest sovereign wealth funds?
1;Act to regulate the activities of Sovereign Wealth Funds;Why are sovereign wealth funds important?;How does Norway's sovereign wealth fund work?
2;Act to regulate the activities of Sovereign Wealth Funds;Do sovereign wealth funds pay taxes?;Does the US have a sovereign wealth fund?
3;Act to regulate the activities of Sovereign Wealth Funds;Do sovereign wealth funds pay taxes?;What is a sovereign in money?
4;Act to regulate the activities of Sovereign Wealth Funds;Do sovereign wealth funds pay taxes?;Who regulates hedge funds?
5;Act to regulate the activities of Sovereign Wealth Funds;What do sovereign wealth funds do?;Which countries have sovereign wealth funds?
6;Act to regulate the activities of Sovereign Wealth Funds;What do sovereign wealth funds do?;Does India have a sovereign wealth fund?
7;Act to regulate the activities of Sovereign Wealth Funds;What do sovereign wealth funds do?;Is Cppib a sovereign wealth fund?
8;Act to regulate the activities of Sovereign Wealth Funds;Does the UK have a sovereign wealth fund?;How much is Norway's oil fund worth?
9;Act to regulate the activities of Sovereign Wealth Funds;Does the UK have a sovereign wealth fund?;What is the Texas Permanent School Fund?
10;Act to regulate the activities of Sovereign Wealth Funds;Does the UK have a sovereign wealth fund?;Who owns Abu Dhabi Investment Authority?
