;parent;name;inner.name
0;Alcohol should be banned.;Why should we ban alcohol?;Why is alcohol so addictive?
1;Alcohol should be banned.;Why should we ban alcohol?;What causes alcoholism?
2;Alcohol should be banned.;Should alcohol be banned in India?;Will alcohol be banned in India?
3;Alcohol should be banned.;Should alcohol be banned in India?;Which states in India have banned alcohol?
4;Alcohol should be banned.;Should alcohol be banned in India?;Can you bring a Bible to Saudi Arabia?
5;Alcohol should be banned.;What is in alcohol that makes it dangerous?;What organs are affected by alcohol?
6;Alcohol should be banned.;What is in alcohol that makes it dangerous?;How damaging is alcohol?
7;Alcohol should be banned.;What is in alcohol that makes it dangerous?;Does alcohol have side effects?
8;Alcohol should be banned.;Will alcohol become illegal?;How much alcohol are you allowed to drink?
9;Alcohol should be banned.;Will alcohol become illegal?;Is alcohol illegal in Pakistan?
10;Alcohol should be banned.;Will alcohol become illegal?;Why was alcohol banned in the 1920s?
