;parent;name;inner.name
0;Take a visit the Yasukuni Shrine;What do people do at the Yasukuni Shrine?;Is it a war crime to shoot a medic?
1;Take a visit the Yasukuni Shrine;What do people do at the Yasukuni Shrine?;Which country has the most deaths in ww2?
2;Take a visit the Yasukuni Shrine;What is the religious significance of the Yasukuni Shrine in Tokyo Japan?;How many Taliban killed?
3;Take a visit the Yasukuni Shrine;What is the religious significance of the Yasukuni Shrine in Tokyo Japan?;What war killed the most American soldiers?
4;Take a visit the Yasukuni Shrine;What is the religious significance of the Yasukuni Shrine in Tokyo Japan?;How many US soldiers died in 2018?
5;Take a visit the Yasukuni Shrine;How many Japanese were tried for war crimes?;How was Tojo killed?
6;Take a visit the Yasukuni Shrine;How many Japanese were tried for war crimes?;How many German soldiers died in ww2?
7;Take a visit the Yasukuni Shrine;How many Japanese were tried for war crimes?;How many people did Germany kill in ww2?
8;Take a visit the Yasukuni Shrine;What is a Class A war criminal?;How many people died in concentration camps?
9;Take a visit the Yasukuni Shrine;What is a Class A war criminal?;Is Espionage a war crime?
10;Take a visit the Yasukuni Shrine;What is a Class A war criminal?;Is it a war crime to shoot a paratrooper?
