;parent;name;inner.name
0;School Day Should Be Extended;Should school time be extended?;Should the school day start later?
1;School Day Should Be Extended;Should school time be extended?;Why the school year should be extended?
2;School Day Should Be Extended;Why should school hours not be extended?;Does adding school days really improve learning?
3;School Day Should Be Extended;Why should school hours not be extended?;How long should school days be?
4;School Day Should Be Extended;Why should school hours not be extended?;Do longer school days improve student achievement?
5;School Day Should Be Extended;Why we should extend the school day?;What are the benefits of a shorter school day?
6;School Day Should Be Extended;Why we should extend the school day?;Why should we have longer school breaks?
7;School Day Should Be Extended;Why we should extend the school day?;Should the school year be shorter?
8;School Day Should Be Extended;Are Longer school days better?;
9;School Day Should Be Extended;Are Longer school days better?;
10;School Day Should Be Extended;Are Longer school days better?;
