;parent;name;inner.name
0;Any work that is not released under a creative commons license shouldn't be funded;Is Creative Commons work free to use?;Is a Creative Commons license free?
1;Any work that is not released under a creative commons license shouldn't be funded;Is Creative Commons work free to use?;Are Creative Commons images free?
2;Any work that is not released under a creative commons license shouldn't be funded;Which Creative Commons license is least restrictive?;What are the six different types of Creative Commons licenses?
3;Any work that is not released under a creative commons license shouldn't be funded;Which Creative Commons license is least restrictive?;What are the 4 Creative Commons licenses?
4;Any work that is not released under a creative commons license shouldn't be funded;Which Creative Commons license is least restrictive?;How do I get a Creative Commons license?
5;Any work that is not released under a creative commons license shouldn't be funded;Can I monetize Creative Commons videos?;Can I use Creative Commons videos?
6;Any work that is not released under a creative commons license shouldn't be funded;Can I monetize Creative Commons videos?;What does Creative Commons reuse allowed mean?
7;Any work that is not released under a creative commons license shouldn't be funded;Can I monetize Creative Commons videos?;Can you monetize Remixes on YouTube?
8;Any work that is not released under a creative commons license shouldn't be funded;Can you use Creative Commons for commercial work?;Does Creative Commons eliminate copyright?
9;Any work that is not released under a creative commons license shouldn't be funded;Can you use Creative Commons for commercial work?;What is commercial use under Creative Commons?
10;Any work that is not released under a creative commons license shouldn't be funded;Can you use Creative Commons for commercial work?;How is Creative Commons different from copyright?
