;parent;name;inner.name
0;Privacy Online is Important;What is privacy and why is it important?;Why do we need the right to privacy?
1;Privacy Online is Important;What is privacy and why is it important?;Why is privacy important to business?
2;Privacy Online is Important;What is Internet privacy required for?;What do you mean by Internet privacy and how it is important in real life?
3;Privacy Online is Important;What is Internet privacy required for?;Is invasion of privacy a crime?
4;Privacy Online is Important;What is Internet privacy required for?;How can I protect my online privacy?
5;Privacy Online is Important;Why is individual data privacy important?;How do you protect data privacy?
6;Privacy Online is Important;Why is individual data privacy important?;Why do we need data privacy?
7;Privacy Online is Important;Why is individual data privacy important?;Why is privacy important to Rachels?
8;Privacy Online is Important;How can I get Internet privacy?;How do you maintain Internet privacy?
9;Privacy Online is Important;How can I get Internet privacy?;How do I secure my online identity?
10;Privacy Online is Important;How can I get Internet privacy?;How can I secure my Internet browsing?
