;parent;name;inner.name
0;Build hydroelectric dams;How much does it cost to build a dam for hydroelectricity?;What is the average cost to build a hydroelectric dam?
1;Build hydroelectric dams;How much does it cost to build a dam for hydroelectricity?;How long does it take to build a hydroelectric dam?
2;Build hydroelectric dams;How many hydroelectric dams are in the US?;What is the biggest hydroelectric dam in the US?
3;Build hydroelectric dams;How many hydroelectric dams are in the US?;What state has the most hydroelectric dams?
4;Build hydroelectric dams;How many hydroelectric dams are in the US?;Which dam produces the most electricity?
5;Build hydroelectric dams;What is the energy transformation of a hydroelectric dam?;Does hydroelectricity produce greenhouse gases?
6;Build hydroelectric dams;What is the energy transformation of a hydroelectric dam?;How can electricity be generated from a dam?
7;Build hydroelectric dams;What is the energy transformation of a hydroelectric dam?;What form of energy is stored by the water when it is behind the dam?
8;Build hydroelectric dams;What materials are used to make dams?;Who controls dams?
9;Build hydroelectric dams;What materials are used to make dams?;What is dam and types of dam?
10;Build hydroelectric dams;What materials are used to make dams?;How are hydro dams constructed?
