;parent;name;inner.name
0;There should be a legally mandated ceiling on weekly working hours;Is it legal to work more than 12 hours a day?;Is it legal to work for 24 hours?
1;There should be a legally mandated ceiling on weekly working hours;Is it legal to work more than 12 hours a day?;How many hours can I legally work in a day?
2;There should be a legally mandated ceiling on weekly working hours;What is the legal work week in hours?;Is it illegal to work over 60 hours a week?
3;There should be a legally mandated ceiling on weekly working hours;What is the legal work week in hours?;Can you get fired for refusing to work overtime?
4;There should be a legally mandated ceiling on weekly working hours;What is the legal work week in hours?;What's the minimum hours between shifts?
5;There should be a legally mandated ceiling on weekly working hours;Is working 100 hours a week legal?;Is working 80 hours a week illegal?
6;There should be a legally mandated ceiling on weekly working hours;Is working 100 hours a week legal?;How many hours can a company make you work in a week?
7;There should be a legally mandated ceiling on weekly working hours;Is working 100 hours a week legal?;Is it legal to work 60 hours a week on salary?
8;There should be a legally mandated ceiling on weekly working hours;Is it illegal to work more than 16 hours a day?;How many days can you work straight without a day off?
9;There should be a legally mandated ceiling on weekly working hours;Is it illegal to work more than 16 hours a day?;Is it legal to work a 14 hour shift?
10;There should be a legally mandated ceiling on weekly working hours;Is it illegal to work more than 16 hours a day?;Is it legal to work 7 days a week without a day off?
