;parent;name;inner.name
0;We must legalize the use of cell phones in cars;Why cell phones should never be used while driving?;Why should you not text while driving?
1;We must legalize the use of cell phones in cars;Why cell phones should never be used while driving?;Can you go to jail for texting and driving?
2;We must legalize the use of cell phones in cars;Why cell phones should be allowed in cars?;Should cell phone use in cars be banned?
3;We must legalize the use of cell phones in cars;Why cell phones should be allowed in cars?;Should cell phones use be banned while driving?
4;We must legalize the use of cell phones in cars;Why cell phones should be allowed in cars?;Why should texting and driving be legal?
5;We must legalize the use of cell phones in cars;Can you use a hands free phone while driving?;Is it illegal to have phone on dashboard?
6;We must legalize the use of cell phones in cars;Can you use a hands free phone while driving?;Is it illegal to drive while on the phone?
7;We must legalize the use of cell phones in cars;Can you use a hands free phone while driving?;Can police use cell phones while driving?
8;We must legalize the use of cell phones in cars;Should talking on a cell phone without a hands free device be illegal?;Should drivers be allowed to use cell phones?
9;We must legalize the use of cell phones in cars;Should talking on a cell phone without a hands free device be illegal?;Can Truck drivers use hands free devices?
10;We must legalize the use of cell phones in cars;Should talking on a cell phone without a hands free device be illegal?;Is it dangerous to talk on the phone while driving?
