;parent;name;inner.name
0;Inheritance tax should be raised to 100% for everyone born in the UK;How much can you inherit tax free?;How much can you inherit without paying taxes in 2018?
1;Inheritance tax should be raised to 100% for everyone born in the UK;How much can you inherit tax free?;How much can you inherit before paying inheritance tax?
2;Inheritance tax should be raised to 100% for everyone born in the UK;What percentage of people pay inheritance tax?;How much money can you gift to a family member tax free?
3;Inheritance tax should be raised to 100% for everyone born in the UK;What percentage of people pay inheritance tax?;Who pays inheritance tax on gifts?
4;Inheritance tax should be raised to 100% for everyone born in the UK;What percentage of people pay inheritance tax?;What is the 7 year rule in inheritance tax?
5;Inheritance tax should be raised to 100% for everyone born in the UK;Should inheritance be taxed?;Do beneficiaries pay tax on 401k inheritance?
6;Inheritance tax should be raised to 100% for everyone born in the UK;Should inheritance be taxed?;Do beneficiaries have to pay taxes on inheritance?
7;Inheritance tax should be raised to 100% for everyone born in the UK;Should inheritance be taxed?;Do beneficiaries pay tax on IRA inheritance?
8;Inheritance tax should be raised to 100% for everyone born in the UK;How do I avoid inheritance tax on a house?;Do beneficiaries pay taxes on bank accounts?
9;Inheritance tax should be raised to 100% for everyone born in the UK;How do I avoid inheritance tax on a house?;Can I avoid paying inheritance tax?
10;Inheritance tax should be raised to 100% for everyone born in the UK;How do I avoid inheritance tax on a house?;What are the 6 states that impose an inheritance tax?
