;parent;name;inner.name
0;People should be allowed to sell their own organs;Why is it illegal to sell your own organs?;What country is it legal to sell your organs?
1;People should be allowed to sell their own organs;Why is it illegal to sell your own organs?;Can I sell my blood?
2;People should be allowed to sell their own organs;Should people donate organs in exchange for money?;Do organ donors have to pay?
3;People should be allowed to sell their own organs;Should people donate organs in exchange for money?;Do kidney donors get paid?
4;People should be allowed to sell their own organs;Should people donate organs in exchange for money?;Do liver donors get paid?
5;People should be allowed to sell their own organs;Should kidneys be able to be bought and sold?;Who pays when you donate an organ?
6;People should be allowed to sell their own organs;Should kidneys be able to be bought and sold?;Can liver grow back after donation?
7;People should be allowed to sell their own organs;Should kidneys be able to be bought and sold?;Can donating a kidney shorten your life?
8;People should be allowed to sell their own organs;Is it legal to sell organs in Canada?;Where is organ trafficking most common?
9;People should be allowed to sell their own organs;Is it legal to sell organs in Canada?;How much does kidney cost in Canada?
10;People should be allowed to sell their own organs;Is it legal to sell organs in Canada?;What is human organ trafficking?
