;parent;name;inner.name
0;Subsidize poor communities;What are the different types of subsidies?;How much money do you need to be above the poverty line?
1;Subsidize poor communities;What are the different types of subsidies?;How does a subsidy work?
2;Subsidize poor communities;How do subsidies hurt the economy?;What are the benefits of subsidies?
3;Subsidize poor communities;How do subsidies hurt the economy?;Do subsidies increase prices?
4;Subsidize poor communities;How do subsidies hurt the economy?;What is the purpose of a subsidy?
5;Subsidize poor communities;Why does government give subsidies?;What companies get subsidies?
6;Subsidize poor communities;Why does government give subsidies?;What is the main purpose of subsidies on production?
7;Subsidize poor communities;Why does government give subsidies?;Why are subsidies inefficient?
8;Subsidize poor communities;Is a tax credit a subsidy?;Do you have to pay back the premium tax credit?
9;Subsidize poor communities;Is a tax credit a subsidy?;Do you have to pay back the Obamacare tax credit?
10;Subsidize poor communities;Is a tax credit a subsidy?;What are the Obamacare income limits for 2018?
