;parent;name;inner.name
0;Police Service Should Be Armed (UK);Should police officers be armed in the UK?;Do French police carry guns?
1;Police Service Should Be Armed (UK);Should police officers be armed in the UK?;When did police start carrying guns in England?
2;Police Service Should Be Armed (UK);How many police officers are armed in the UK?;How much do armed police earn?
3;Police Service Should Be Armed (UK);How many police officers are armed in the UK?;What countries do police not carry guns?
4;Police Service Should Be Armed (UK);How many police officers are armed in the UK?;Do cops in Australia carry guns?
5;Police Service Should Be Armed (UK);What guns do UK police use?;What handgun do most police carry?
6;Police Service Should Be Armed (UK);What guns do UK police use?;Are British Transport Police real police?
7;Police Service Should Be Armed (UK);What guns do UK police use?;What guns do the SAS use?
8;Police Service Should Be Armed (UK);What is the UK equivalent of Swat?;What is the UK equivalent of the FBI?
9;Police Service Should Be Armed (UK);What is the UK equivalent of Swat?;Does UK have SWAT?
10;Police Service Should Be Armed (UK);What is the UK equivalent of Swat?;What's the British equivalent of FBI?
