;parent;name;inner.name
0;The United Nations has failed;How the UN has failed?;Why did the League of Nations fail and the United Nations succeed?
1;The United Nations has failed;How the UN has failed?;How is the UN funded?
2;The United Nations has failed;Is United Nations a failure or success?;What are the 4 main purposes of the UN?
3;The United Nations has failed;Is United Nations a failure or success?;What are the 51 countries in the United Nations?
4;The United Nations has failed;Is United Nations a failure or success?;Was the United Nations successful after ww2?
5;The United Nations has failed;What are the problems with the UN?;What countries are not in the UN?
6;The United Nations has failed;What are the problems with the UN?;What are some current issues?
7;The United Nations has failed;What are the problems with the UN?;What are the main global issues?
8;The United Nations has failed;Why did the UN fail in Rwanda?;Was the UN effective in Rwanda?
9;The United Nations has failed;Why did the UN fail in Rwanda?;Why did the UN pull out of Rwanda?
10;The United Nations has failed;Why did the UN fail in Rwanda?;What stopped the Rwandan genocide?
