;parent;name;inner.name
0;The UN should be reformed or replaced;Should the United Nations Security Council be reformed?;Which UN countries have veto power?
1;The UN should be reformed or replaced;Should the United Nations Security Council be reformed?;Can India get veto power in UN?
2;The UN should be reformed or replaced;Can a permanent member of the UN Security Council be removed?;Can a country be removed from the UN Security Council?
3;The UN should be reformed or replaced;Can a permanent member of the UN Security Council be removed?;Is India a member of UN?
4;The UN should be reformed or replaced;Can a permanent member of the UN Security Council be removed?;Will India become a permanent member of UN?
5;The UN should be reformed or replaced;Is it time to end the veto power of the five permanent members of the UN Security Council?;Should the UN veto power be abolished?
6;The UN should be reformed or replaced;Is it time to end the veto power of the five permanent members of the UN Security Council?;How many times veto power can be used in UN?
7;The UN should be reformed or replaced;Is it time to end the veto power of the five permanent members of the UN Security Council?;How many times China used veto power?
8;The UN should be reformed or replaced;What is unique about the permanent members of the UN Security Council?;Why are the 5 permanent members of the UN Permanent?
9;The UN should be reformed or replaced;What is unique about the permanent members of the UN Security Council?;Is the UN in session today?
10;The UN should be reformed or replaced;What is unique about the permanent members of the UN Security Council?;Is Russia part of the UN?
