;parent;name;inner.name
0;Gay couples should be allowed to marry;Can gay couples get married?;When did America legalize gay marriage?
1;Gay couples should be allowed to marry;Can gay couples get married?;Is gay marriage legal in Tennessee?
2;Gay couples should be allowed to marry;How many countries have legalized gay marriage?;When did England legalize gay marriage?
3;Gay couples should be allowed to marry;How many countries have legalized gay marriage?;When did Denmark legalize gay marriage?
4;Gay couples should be allowed to marry;How many countries have legalized gay marriage?;When did South Africa Legalise gay marriage?
5;Gay couples should be allowed to marry;In what states is gay marriage illegal?;When did California legalize gay marriage?
6;Gay couples should be allowed to marry;In what states is gay marriage illegal?;Does Texas recognize gay marriage?
7;Gay couples should be allowed to marry;In what states is gay marriage illegal?;When did homosexuality become legal in US?
8;Gay couples should be allowed to marry;What was the first country to legalize gay marriage?;When did NZ Legalise gay marriage?
9;Gay couples should be allowed to marry;What was the first country to legalize gay marriage?;When did Belgium legalize gay marriage?
10;Gay couples should be allowed to marry;What was the first country to legalize gay marriage?;When did Sweden legalize gay marriage?
