;parent;name;inner.name
0;There is a world Water crisis;What is the water crisis in the world?;How many people die from dirty water?
1;There is a world Water crisis;What is the water crisis in the world?;How can we stop the water crisis?
2;There is a world Water crisis;What is causing the water crisis?;Which countries are facing water crisis?
3;There is a world Water crisis;What is causing the water crisis?;What percent of the world has drinkable water?
4;There is a world Water crisis;What is causing the water crisis?;What is the effect of water crisis?
5;There is a world Water crisis;Why is there a global water crisis?;What are the causes of global water crisis?
6;There is a world Water crisis;Why is there a global water crisis?;Which country has the least clean water?
7;There is a world Water crisis;Why is there a global water crisis?;What percentage of the world doesn't have clean water?
8;There is a world Water crisis;Is there a water crisis?;Is the Flint Water Crisis Over?
9;There is a world Water crisis;Is there a water crisis?;When did the Flint water crisis end?
10;There is a world Water crisis;Is there a water crisis?;Is Yemen running out of water?
