;parent;name;inner.name
0;The United States return to a gold standard;Will the US go back to the gold standard?;Should the United States return to a gold standard?
1;The United States return to a gold standard;Will the US go back to the gold standard?;How much gold does the United States have?
2;The United States return to a gold standard;Why did the US go off the gold standard?;Is the dollar backed by oil?
3;The United States return to a gold standard;Why did the US go off the gold standard?;Why did Nixon take the US off the gold standard?
4;The United States return to a gold standard;Why did the US go off the gold standard?;What replaced the gold standard in the US?
5;The United States return to a gold standard;Is America on a gold standard?;Who got us off the gold standard?
6;The United States return to a gold standard;Is America on a gold standard?;Is any currency backed by gold?
7;The United States return to a gold standard;Is America on a gold standard?;Is the US dollar fiat money?
8;The United States return to a gold standard;Why is the US dollar not backed by gold?;What is the United States dollar backed by?
9;The United States return to a gold standard;Why is the US dollar not backed by gold?;When did the dollar stop being backed by gold?
10;The United States return to a gold standard;Why is the US dollar not backed by gold?;Is the Australian dollar backed by gold?
