;parent;name;inner.name
0;Proportional representation is necessary.;Why do we need proportional representation?;What is the difference between equal representation and proportional representation?
1;Proportional representation is necessary.;Why do we need proportional representation?;What is the difference between a single member district and proportional representation?
2;Proportional representation is necessary.;What are the benefits of proportional representation?;Why was proportional representation a weakness?
3;Proportional representation is necessary.;What are the benefits of proportional representation?;What is a proportional representation voting system?
4;Proportional representation is necessary.;What are the benefits of proportional representation?;What is the difference between majoritarian representation and proportional representation?
5;Proportional representation is necessary.;How proportional representation elections work?;Would proportional representation work in the UK?
6;Proportional representation is necessary.;How proportional representation elections work?;What is the principle of proportional representation?
7;Proportional representation is necessary.;How proportional representation elections work?;Who uses proportional representation?
8;Proportional representation is necessary.;What's the difference between first past the post and proportional representation?;What is proportional representation simplified?
9;Proportional representation is necessary.;What's the difference between first past the post and proportional representation?;How proportional is FPTP?
10;Proportional representation is necessary.;What's the difference between first past the post and proportional representation?;What is BC proportional representation?
