;parent;name;inner.name
0;Any society must have a national minimum wage;What is the minimum wage for 2018?;What will the minimum wage be in 2020?
1;Any society must have a national minimum wage;What is the minimum wage for 2018?;Is minimum wage going up 2019?
2;Any society must have a national minimum wage;Should there be a national minimum wage?;Has raising the minimum wage worked?
3;Any society must have a national minimum wage;Should there be a national minimum wage?;Is Raising minimum wage good?
4;Any society must have a national minimum wage;Should there be a national minimum wage?;Did minimum wage go up?
5;Any society must have a national minimum wage;Should the minimum wage be raised to $15?;Is minimum wage going to $15 an hour?
6;Any society must have a national minimum wage;Should the minimum wage be raised to $15?;Should minimum wage be raised?
7;Any society must have a national minimum wage;Should the minimum wage be raised to $15?;What would 15 dollar minimum wage do?
8;Any society must have a national minimum wage;What countries have no minimum wage?;What country has the highest minimum wage 2018?
9;Any society must have a national minimum wage;What countries have no minimum wage?;What is the minimum wage in South Africa 2018?
10;Any society must have a national minimum wage;What countries have no minimum wage?;What's the minimum wage in Japan?
