;parent;name;inner.name
0;Leaving the EU would increase British security;Why is Britain leaving the EU?;Should Britain leave the EU?
1;Leaving the EU would increase British security;Why is Britain leaving the EU?;Why do the British want Brexit?
2;Leaving the EU would increase British security;Why is Britain leaving the EU?;Can the UK survive outside the EU?
3;Leaving the EU would increase British security;Why is Britain leaving the EU?;Is Britain leaving the EU?
4;Leaving the EU would increase British security;Why is Britain leaving the EU?;How will no deal Brexit affect EU?
5;Leaving the EU would increase British security;Can the UK survive outside the EU?;What happens to UK citizens living in EU?
6;Leaving the EU would increase British security;Can the UK survive outside the EU?;Can UK citizens work in EU?
7;Leaving the EU would increase British security;Can the UK survive outside the EU?;Will the UK survive Brexit?
8;Leaving the EU would increase British security;Can the UK survive outside the EU?;Is Britain leaving the EU?
9;Leaving the EU would increase British security;Can the UK survive outside the EU?;How will no deal Brexit affect EU?
10;Leaving the EU would increase British security;Is Britain leaving the EU?;Will the EU be affected by Brexit?
11;Leaving the EU would increase British security;Is Britain leaving the EU?;Can UK change its mind on Brexit?
12;Leaving the EU would increase British security;Is Britain leaving the EU?;Is Brexit good for Britain?
13;Leaving the EU would increase British security;Is Britain leaving the EU?;How will no deal Brexit affect EU?
14;Leaving the EU would increase British security;How will no deal Brexit affect EU?;How much money does Britain pay the EU?
15;Leaving the EU would increase British security;How will no deal Brexit affect EU?;What does UK lose by leaving EU?
16;Leaving the EU would increase British security;How will no deal Brexit affect EU?;Will the UK crash out of the EU?
