;parent;name;inner.name
0;The US intervention in Libya, lacking congressional approval, was illegal;Did the US intervene in Libya?;Is Libya a US sanctioned country?
1;The US intervention in Libya, lacking congressional approval, was illegal;Did the US intervene in Libya?;Does Libya have oil?
2;The US intervention in Libya, lacking congressional approval, was illegal;What did the US do to Libya?;What is Gaddafi known for?
3;The US intervention in Libya, lacking congressional approval, was illegal;What did the US do to Libya?;Was Libya a French colony?
4;The US intervention in Libya, lacking congressional approval, was illegal;What did the US do to Libya?;Why was there a civil war in Libya?
5;The US intervention in Libya, lacking congressional approval, was illegal;What started the Libyan revolution?;Why is Libya at war?
6;The US intervention in Libya, lacking congressional approval, was illegal;What started the Libyan revolution?;What caused the 2011 Libyan civil war?
7;The US intervention in Libya, lacking congressional approval, was illegal;What started the Libyan revolution?;How old is Libya?
8;The US intervention in Libya, lacking congressional approval, was illegal;Who attacked Libya?;Is Libya a monarchy?
9;The US intervention in Libya, lacking congressional approval, was illegal;Who attacked Libya?;When did US bomb Libya?
10;The US intervention in Libya, lacking congressional approval, was illegal;Who attacked Libya?;Who survived the Benghazi attack?
