;parent;name;inner.name
0;The Dalai Lama’s ‘third way’ in Tibet;How did the Dalai Lama become the Dalai Lama?;What are the 3 main beliefs of Tibetan Buddhism?
1;The Dalai Lama’s ‘third way’ in Tibet;How did the Dalai Lama become the Dalai Lama?;Is the Dalai Lama a Buddha?
2;The Dalai Lama’s ‘third way’ in Tibet;What is the middle way approach?;What is meant by the middle way in Buddhism?
3;The Dalai Lama’s ‘third way’ in Tibet;What is the middle way approach?;Where does the Buddha finally achieve enlightenment?
4;The Dalai Lama’s ‘third way’ in Tibet;What is the middle way approach?;Does Tibet want independence?
5;The Dalai Lama’s ‘third way’ in Tibet;How did they find the Dalai Lama?;Why did China invade Tibet?
6;The Dalai Lama’s ‘third way’ in Tibet;How did they find the Dalai Lama?;Why is Tibet part of China?
7;The Dalai Lama’s ‘third way’ in Tibet;How did they find the Dalai Lama?;What languages does the Dalai Lama speak?
8;The Dalai Lama’s ‘third way’ in Tibet;How rich is the Dalai Lama?;Is the Dalai Lama a God?
9;The Dalai Lama’s ‘third way’ in Tibet;How rich is the Dalai Lama?;How is the Dalai Lama picked?
10;The Dalai Lama’s ‘third way’ in Tibet;How rich is the Dalai Lama?;Is Tibet its own country?
