;parent;name;inner.name
0;We should legalise the growing of coca leaf;Why is coca tea illegal in the US?;Is coca leaf illegal in the US?
1;We should legalise the growing of coca leaf;Why is coca tea illegal in the US?;How long does coca tea stay in your urine?
2;We should legalise the growing of coca leaf;Is coca leaf legal in Colombia?;What happens if you eat coca leaf?
3;We should legalise the growing of coca leaf;Is coca leaf legal in Colombia?;Can I bring Coca candy into the US?
4;We should legalise the growing of coca leaf;Is coca leaf legal in Colombia?;What is Cocaines real name?
5;We should legalise the growing of coca leaf;Is coca plant legal?;Does Coca Cola use coca leaves?
6;We should legalise the growing of coca leaf;Is coca plant legal?;Where can coca plants grow?
7;We should legalise the growing of coca leaf;Is coca plant legal?;Is growing coca illegal in Colombia?
8;We should legalise the growing of coca leaf;What is coca leaf used for?;What plant makes chocolate?
9;We should legalise the growing of coca leaf;What is coca leaf used for?;What class of drug is benzoylecgonine?
