;parent;name;inner.name
0;We must support public service broadcasters;What is a public service broadcasting definition?;What is the purpose of public service broadcasting?
1;We must support public service broadcasters;What is a public service broadcasting definition?;What is the purpose of public broadcasting?
2;We must support public service broadcasters;What is a public service broadcasting definition?;Is ITV a public service broadcaster?
3;We must support public service broadcasters;What is a public service broadcasting definition?;What is the difference between public and private broadcasters?
4;We must support public service broadcasters;What is a public service broadcasting definition?;How is public service broadcasting funded?
5;We must support public service broadcasters;Is ITV a public service broadcaster?;Is BBC a public service?
6;We must support public service broadcasters;Is ITV a public service broadcaster?;Is Channel 4 a public service broadcaster?
7;We must support public service broadcasters;Is ITV a public service broadcaster?;What is the difference between public and private broadcasters?
8;We must support public service broadcasters;Is ITV a public service broadcaster?;How is public service broadcasting funded?
9;We must support public service broadcasters;What is the difference between public and private broadcasters?;How does public television work?
10;We must support public service broadcasters;What is the difference between public and private broadcasters?;What is a private broadcaster?
11;We must support public service broadcasters;What is the difference between public and private broadcasters?;How is public service broadcasting funded?
12;We must support public service broadcasters;How is public service broadcasting funded?;What is public service broadcasting BBC?
13;We must support public service broadcasters;How is public service broadcasting funded?;What is the BBC's public service remit?
