;parent;name;inner.name
0;Place Cameras in Courtrooms to Televise Court Cases;How many states allow cameras in the courtroom?;Do states allow cameras in the courtroom?
1;Place Cameras in Courtrooms to Televise Court Cases;How many states allow cameras in the courtroom?;Are you allowed to take pictures Court?
2;Place Cameras in Courtrooms to Televise Court Cases;Why are photos not allowed in court?;Can photographs be used as evidence?
3;Place Cameras in Courtrooms to Televise Court Cases;Why are photos not allowed in court?;What evidence is allowed in court?
4;Place Cameras in Courtrooms to Televise Court Cases;Why are photos not allowed in court?;Are pictures admissible in court?
5;Place Cameras in Courtrooms to Televise Court Cases;Should cameras be allowed in the courtroom?;Can anyone sit in a courtroom?
6;Place Cameras in Courtrooms to Televise Court Cases;Should cameras be allowed in the courtroom?;Are all court hearings public?
7;Place Cameras in Courtrooms to Televise Court Cases;Should cameras be allowed in the courtroom?;Can a judge close a courtroom?
8;Place Cameras in Courtrooms to Televise Court Cases;Are TV cameras allowed in courtrooms?;Why are cameras not allowed in federal court?
9;Place Cameras in Courtrooms to Televise Court Cases;Are TV cameras allowed in courtrooms?;Can cameras be used in court?
10;Place Cameras in Courtrooms to Televise Court Cases;Are TV cameras allowed in courtrooms?;Should criminal trials be televised?
