;parent;name;inner.name
0;Ethiopia is right to build a dam on the River Nile;Why is Ethiopia building a dam?;How many rivers does Ethiopia have?
1;Ethiopia is right to build a dam on the River Nile;Why is Ethiopia building a dam?;What countries does the River Nile pass?
2;Ethiopia is right to build a dam on the River Nile;How many dams are on the Nile River?;Why does River Nile flow northwards?
3;Ethiopia is right to build a dam on the River Nile;How many dams are on the Nile River?;Why did they dam the Nile?
4;Ethiopia is right to build a dam on the River Nile;How many dams are on the Nile River?;What country does the Nile River start in?
5;Ethiopia is right to build a dam on the River Nile;Is the Nile River drying up?;Has the River Nile ever dried up?
6;Ethiopia is right to build a dam on the River Nile;Is the Nile River drying up?;Is the Nile River drinkable?
7;Ethiopia is right to build a dam on the River Nile;Is the Nile River drying up?;Is the Nile river polluted?
8;Ethiopia is right to build a dam on the River Nile;Who is building the Grand Ethiopian Renaissance Dam?;Where is the Grand Ethiopian Renaissance Dam?
9;Ethiopia is right to build a dam on the River Nile;Who is building the Grand Ethiopian Renaissance Dam?;Is the Grand Ethiopian Renaissance Dam complete?
10;Ethiopia is right to build a dam on the River Nile;Who is building the Grand Ethiopian Renaissance Dam?;What is the biggest dam in Africa?
