;parent;name;inner.name
0;We should ban the depiction of smoking in films;Is smoking allowed in movies?;Do actors really kiss?
1;We should ban the depiction of smoking in films;Is smoking allowed in movies?;Are herbal cigarettes safe to smoke?
2;We should ban the depiction of smoking in films;What do actors use as cigarettes in movies?;Are herbal cigarettes good for you?
3;We should ban the depiction of smoking in films;What do actors use as cigarettes in movies?;Do actors actually drink in movies?
4;We should ban the depiction of smoking in films;What do actors use as cigarettes in movies?;Do actors really eat in movies?
5;We should ban the depiction of smoking in films;Do tobacco companies pay for smoking in movies?;Do actors spit out food?
6;We should ban the depiction of smoking in films;Do tobacco companies pay for smoking in movies?;How do actors make themselves cry?
7;We should ban the depiction of smoking in films;Do tobacco companies pay for smoking in movies?;Can actors drink alcohol on TV?
8;We should ban the depiction of smoking in films;Do actors smoke real cigarettes?;Do all actors smoke?
9;We should ban the depiction of smoking in films;Do actors smoke real cigarettes?;What brand of cigarettes do celebrities smoke?
10;We should ban the depiction of smoking in films;Do actors smoke real cigarettes?;Do actors smoke real cigarettes on TV shows and movies?
